dateTime,open,high,low,close,volume
1674435600000,22744.83000000,22826.46000000,22743.82000000,22784.11000000,4580.43166000
1674437400000,22784.12000000,22793.27000000,22690.30000000,22699.37000000,4051.59933000
1674439200000,22699.37000000,22757.65000000,22690.30000000,22743.45000000,3564.93948000
1674441000000,22742.54000000,22756.64000000,22707.49000000,22752.05000000,2805.16304000
1674442800000,22752.71000000,22771.14000000,22692.38000000,22715.19000000,4222.36400000
1674444600000,22714.70000000,22722.00000000,22646.43000000,22661.02000000,5388.50765000
1674446400000,22661.02000000,22719.83000000,22659.12000000,22690.18000000,3250.11745000
1674448200000,22689.68000000,22759.49000000,22682.72000000,22758.32000000,4163.04918000
1674450000000,22758.32000000,22769.71000000,22720.57000000,22750.77000000,3652.47281000
1674451800000,22749.83000000,22753.00000000,22706.25000000,22723.63000000,3529.55366000
1674453600000,22724.48000000,22760.00000000,22691.66000000,22735.28000000,3900.86555000
1674455400000,22735.28000000,22794.33000000,22721.01000000,22773.33000000,4016.10098000
1674457200000,22773.92000000,22786.00000000,22600.14000000,22680.35000000,6045.08475000
1674459000000,22680.35000000,22730.66000000,22657.18000000,22695.90000000,4637.02092000
1674460800000,22696.61000000,22769.53000000,22662.38000000,22693.19000000,5317.92133000
1674462600000,22693.19000000,22758.90000000,22680.00000000,22719.28000000,3640.46499000
1674464400000,22719.28000000,22783.99000000,22703.26000000,22781.65000000,3681.72205000
1674466200000,22782.50000000,22788.00000000,22740.24000000,22784.18000000,3124.38175000
1674468000000,22784.85000000,22940.69000000,22764.91000000,22895.64000000,7490.38943000
1674469800000,22896.46000000,22957.25000000,22879.36000000,22909.95000000,4865.69831000
1674471600000,22909.95000000,22930.00000000,22826.23000000,22835.64000000,5111.58991000
1674473400000,22835.64000000,22916.24000000,22827.80000000,22904.58000000,5034.12692000
1674475200000,22904.58000000,22921.00000000,22808.90000000,22863.55000000,5608.57072000
1674477000000,22862.33000000,22978.00000000,22851.55000000,22910.74000000,6246.74979000
1674478800000,22911.60000000,22939.49000000,22834.58000000,22873.40000000,6072.47156000
1674480600000,22873.40000000,22892.00000000,22668.43000000,22798.41000000,9971.02608000
1674482400000,22799.89000000,22829.00000000,22674.91000000,22793.63000000,8484.07907000
1674484200000,22793.63000000,23115.00000000,22500.00000000,22622.05000000,18211.59830000
1674486000000,22627.71000000,22873.37000000,22586.68000000,22864.28000000,16736.47905000
1674487800000,22862.02000000,22920.00000000,22802.00000000,22853.14000000,9036.53407000
1674489600000,22855.44000000,22935.78000000,22803.03000000,22811.38000000,7849.80602000
